自建源,#genre#
CCTV13 新闻,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV14 少儿,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV15 音乐,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV17 农业农村,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CGTN,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
湖南卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
东方卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292403.m3u8
黑龙江卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000293903.m3u8
广东卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292703.m3u8
深圳卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
江苏卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
浙江卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
江苏卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000295603.m3u8
深圳卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292203.m3u8
北京卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000272103.m3u8
海南卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000291503.m3u8
山东卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294803.m3u8
江西卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294103.m3u8
湖北卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294503.m3u8
河南卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000296103.m3u8
河北卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000293403.m3u8
贵州卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000293303.m3u8
东南卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000292503.m3u8
广西卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000294203.m3u8
四川卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000295003.m3u8
辽宁卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000281303.m3u8
重庆卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000297803.m3u8
安徽卫视,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000298003.m3u8

咪咕,#genre#
CCTV1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229867/index.m3u8
CCTV1HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228702/index.m3u8
CCTV1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229864/index.m3u8
CCTV1,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228843/index.m3u8
CCTV2HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229095/index.m3u8
CCTV2,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229341/index.m3u8
CCTV3HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229098/index.m3u8
CCTV4,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229283/index.m3u8
CCTV4,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229821/index.m3u8
CCTV5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228819/index.m3u8
CCTV5HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228849/index.m3u8
CCTV5+HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221228810/index.m3u8
CCTV6HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229091/index.m3u8
CCTV7HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229076/index.m3u8
CCTV7,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229344/index.m3u8
CCTV8HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229083/index.m3u8
CCTV9HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229079/index.m3u8
CCTV9,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229347/index.m3u8
CCTV10HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229082/index.m3u8
CCTV10,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229295/index.m3u8
CCTV11,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229097/index.m3u8
CCTV12HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229089/index.m3u8
CCTV13,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229100/index.m3u8
CCTV14FHD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229157/index.m3u8
CCTV14HD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229296/index.m3u8
CCTV14,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229284/index.m3u8
CCTV15,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229103/index.m3u8
CCTV4K超高清UHD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229683/index.m3u8
CCTV6-3DHD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229848/index.m3u8
移动5+直播FHD,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229638/index.m3u8
CGTN,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229101/index.m3u8
内蒙古卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229043/index.m3u8
陕西卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229052/index.m3u8
兵团卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229046/index.m3u8
吉林卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229049/index.m3u8
云南卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229055/index.m3u8
江西卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229058/index.m3u8
重庆卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229061/index.m3u8
四川卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229064/index.m3u8
青海卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229067/index.m3u8
东南卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229068/index.m3u8
河北卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229071/index.m3u8
新疆卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229116/index.m3u8
